host_is_superhost,date,price
No,2021-02-12,67.87556378865979
No,2021-02-13,67.78261920103093
No,2021-02-14,66.09157538659794
No,2021-02-15,66.02593427835052
No,2021-02-16,66.18242590206185
No,2021-02-17,66.1845199742268
No,2021-02-18,66.29131765463917
No,2021-02-19,67.8113724226804
No,2021-02-20,67.81193621134021
No,2021-02-21,66.09536082474227
No,2021-02-22,65.98340850515464
No,2021-02-23,65.91994201030928
No,2021-02-24,65.9362918814433
No,2021-02-25,66.0090206185567
No,2021-02-26,67.68693621134021
No,2021-02-27,67.76844394329896
No,2021-02-28,66.05428479381443
No,2021-03-01,66.26852448453609
No,2021-03-02,66.40947164948453
No,2021-03-03,66.43113724226804
No,2021-03-04,66.32087628865979
No,2021-03-05,68.07176224226804
No,2021-03-06,68.09511920103093
