price,review_scores_rating,availability_90,neighbourhood_group_cleansed,host_acceptance_rate,host_response_time,host_identity_verified,host_has_profile_pic,number_of_reviews,instant_bookable,host_is_superhost
55,100.0,1,Friedrichshain-Kreuzberg,100,,Yes,Yes,2,Yes,No
65,100.0,0,Friedrichshain-Kreuzberg,,,No,Yes,1,No,No
80,96.0,71,Tempelhof - Schöneberg,96,within a few hours,No,Yes,184,No,Yes
89,88.0,0,Mitte,97,within a day,Yes,Yes,123,Yes,No
119,100.0,0,Charlottenburg-Wilm.,,,No,Yes,3,Yes,No
20,100.0,29,Neukölln,0,a few days or more,Yes,Yes,2,No,No
50,100.0,0,Charlottenburg-Wilm.,,,No,Yes,1,No,No
34,95.0,73,Mitte,100,within an hour,Yes,Yes,110,Yes,Yes
50,96.0,90,Charlottenburg-Wilm.,50,,Yes,Yes,15,No,No
23,92.0,60,Treptow - Köpenick,76,within a few hours,Yes,Yes,122,No,No
60,100.0,28,Pankow,50,within an hour,Yes,Yes,1,Yes,No
36,100.0,16,Mitte,100,within an hour,Yes,Yes,7,Yes,No
75,97.0,5,Pankow,90,within an hour,Yes,Yes,19,No,Yes
45,89.0,88,Tempelhof - Schöneberg,31,within a day,No,Yes,10,No,No
30,94.0,0,Mitte,50,,Yes,Yes,7,No,No
115,97.0,37,Neukölln,60,within an hour,Yes,Yes,12,No,No
33,100.0,0,Friedrichshain-Kreuzberg,40,,Yes,Yes,11,No,No
230,100.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,7,Yes,No
45,100.0,0,Friedrichshain-Kreuzberg,100,,Yes,Yes,14,No,Yes
30,99.0,0,Friedrichshain-Kreuzberg,88,within an hour,Yes,Yes,41,No,Yes
50,100.0,0,Neukölln,100,within an hour,Yes,Yes,6,No,No
24,85.0,0,Mitte,,,Yes,Yes,4,No,No
75,100.0,59,Friedrichshain-Kreuzberg,67,,Yes,Yes,5,No,No
76,91.0,86,Mitte,95,within an hour,Yes,Yes,82,No,No
129,96.0,0,Neukölln,25,,Yes,Yes,5,No,No
36,100.0,89,Reinickendorf,60,within a day,Yes,Yes,5,No,Yes
65,82.0,74,Lichtenberg,92,within an hour,Yes,Yes,45,No,No
81,100.0,0,Treptow - Köpenick,67,,No,Yes,3,No,Yes
45,100.0,37,Tempelhof - Schöneberg,100,within an hour,Yes,Yes,2,No,No
30,94.0,32,Neukölln,70,within a day,No,Yes,7,No,No
103,93.0,0,Mitte,,,No,Yes,41,No,No
50,93.0,69,Pankow,94,within an hour,Yes,Yes,71,Yes,No
77,99.0,63,Pankow,99,within a few hours,Yes,Yes,220,No,Yes
98,100.0,17,Pankow,41,within a day,Yes,Yes,32,No,No
38,100.0,0,Friedrichshain-Kreuzberg,100,,No,Yes,3,Yes,No
80,94.0,41,Neukölln,99,within an hour,Yes,Yes,311,Yes,No
44,100.0,89,Friedrichshain-Kreuzberg,100,within a few hours,No,Yes,1,No,No
108,96.0,80,Pankow,100,within an hour,Yes,Yes,112,No,Yes
