id,host_is_superhost,neighbourhood_group_cleansed,room_type,beds,availability_365,review_scores_rating
306502,No,Charlottenburg-Wilm.,Entire home/apt,1.0,0-50,91-100
309511,No,Pankow,Entire home/apt,1.0,0-50,91-100
309942,No,Mitte,Private room,0.0,300+,91-100
311703,Yes,Tempelhof - Schöneberg,Entire home/apt,5.0,300+,91-100
313876,Yes,Charlottenburg-Wilm.,Entire home/apt,4.0,300+,91-100
315533,No,Tempelhof - Schöneberg,Entire home/apt,2.0,201-250,91-100
316327,Yes,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
316462,Yes,Mitte,Entire home/apt,1.0,251-300,91-100
320028,No,Tempelhof - Schöneberg,Private room,1.0,300+,91-100
320279,Yes,Mitte,Entire home/apt,2.0,251-300,91-100
320305,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
321295,Yes,Tempelhof - Schöneberg,Entire home/apt,2.0,151-200,91-100
321308,Yes,Tempelhof - Schöneberg,Entire home/apt,3.0,251-300,91-100
321378,Yes,Mitte,Entire home/apt,3.0,0-50,91-100
322463,No,Pankow,Entire home/apt,2.0,300+,81-90
322520,No,Pankow,Entire home/apt,2.0,300+,91-100
323243,No,Neukölln,Private room,0.0,300+,81-90
323250,No,Neukölln,Private room,0.0,300+,81-90
323255,No,Neukölln,Private room,3.0,300+,81-90
323259,No,Neukölln,Private room,3.0,300+,81-90
325979,No,Steglitz - Zehlendorf,Private room,1.0,51-100,81-90
326608,No,Friedrichshain-Kreuzberg,Entire home/apt,4.0,201-250,91-100
327442,No,Tempelhof - Schöneberg,Private room,1.0,0-50,91-100
329648,No,Pankow,Private room,1.0,0-50,91-100
335273,No,Pankow,Entire home/apt,1.0,251-300,91-100
336482,No,Mitte,Entire home/apt,1.0,300+,91-100
341910,No,Friedrichshain-Kreuzberg,Entire home/apt,6.0,300+,81-90
344856,Yes,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
344986,Yes,Pankow,Private room,2.0,300+,91-100
345373,No,Charlottenburg-Wilm.,Entire home/apt,1.0,300+,71-80
346404,Yes,Treptow - Köpenick,Entire home/apt,1.0,0-50,91-100
347762,Yes,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
352998,Yes,Charlottenburg-Wilm.,Private room,1.0,300+,91-100
354033,No,Treptow - Köpenick,Entire home/apt,3.0,0-50,91-100
355227,No,Mitte,Entire home/apt,2.0,151-200,71-80
355494,No,Pankow,Entire home/apt,6.0,300+,81-90
357128,No,Tempelhof - Schöneberg,Private room,1.0,300+,91-100
357984,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
362701,Yes,Friedrichshain-Kreuzberg,Entire home/apt,1.0,151-200,91-100
362874,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
363413,No,Pankow,Private room,1.0,300+,91-100
363454,Yes,Friedrichshain-Kreuzberg,Entire home/apt,1.0,251-300,91-100
368117,Yes,Mitte,Private room,2.0,101-150,91-100
380281,Yes,Pankow,Private room,1.0,251-300,91-100
382008,Yes,Friedrichshain-Kreuzberg,Private room,2.0,300+,91-100
385059,Yes,Mitte,Private room,1.0,0-50,91-100
387607,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,251-300,91-100
393598,No,Neukölln,Entire home/apt,2.0,0-50,91-100
395063,Yes,Friedrichshain-Kreuzberg,Private room,0.0,201-250,91-100
398011,No,Pankow,Entire home/apt,0.0,201-250,91-100
398962,Yes,Friedrichshain-Kreuzberg,Entire home/apt,1.0,51-100,91-100
399312,No,Neukölln,Entire home/apt,2.0,251-300,91-100
399386,Yes,Tempelhof - Schöneberg,Entire home/apt,2.0,251-300,91-100
400642,No,Charlottenburg-Wilm.,Entire home/apt,2.0,0-50,91-100
400832,No,Steglitz - Zehlendorf,Private room,1.0,300+,91-100
401242,No,Pankow,Entire home/apt,2.0,0-50,91-100
406774,No,Friedrichshain-Kreuzberg,Private room,1.0,251-300,91-100
408756,Yes,Pankow,Entire home/apt,0.0,300+,91-100
409846,No,Mitte,Entire home/apt,1.0,300+,91-100
410020,No,Neukölln,Private room,1.0,0-50,91-100
412418,No,Neukölln,Entire home/apt,2.0,0-50,91-100
417143,No,Friedrichshain-Kreuzberg,Entire home/apt,3.0,151-200,81-90
420114,No,Mitte,Entire home/apt,2.0,201-250,91-100
421236,No,Steglitz - Zehlendorf,Entire home/apt,1.0,0-50,91-100
425411,Yes,Mitte,Entire home/apt,2.0,300+,91-100
425487,Yes,Mitte,Entire home/apt,3.0,300+,91-100
426887,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,151-200,91-100
431343,No,Pankow,Private room,2.0,300+,91-100
431652,No,Friedrichshain-Kreuzberg,Private room,1.0,201-250,91-100
432460,No,Pankow,Private room,1.0,0-50,91-100
439089,No,Pankow,Entire home/apt,1.0,51-100,91-100
439631,No,Pankow,Entire home/apt,0.0,0-50,91-100
446975,Yes,Pankow,Entire home/apt,2.0,151-200,91-100
452164,No,Mitte,Entire home/apt,5.0,251-300,91-100
453070,No,Friedrichshain-Kreuzberg,Private room,0.0,300+,91-100
456839,No,Steglitz - Zehlendorf,Entire home/apt,1.0,51-100,91-100
456902,Yes,Friedrichshain-Kreuzberg,Entire home/apt,2.0,300+,91-100
458800,No,Pankow,Entire home/apt,5.0,300+,91-100
462459,No,Pankow,Entire home/apt,1.0,0-50,91-100
463384,No,Pankow,Entire home/apt,2.0,0-50,91-100
464324,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
466983,No,Pankow,Private room,2.0,0-50,91-100
471495,No,Neukölln,Private room,1.0,0-50,81-90
473386,No,Charlottenburg-Wilm.,Entire home/apt,3.0,0-50,91-100
475193,Yes,Mitte,Private room,1.0,51-100,91-100
476077,No,Neukölln,Entire home/apt,3.0,0-50,91-100
